BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,NumberOfPixels,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
104,242,140,258,446,446,0,0,17.1664,75.7884,2.10117,86.6103,0.864376,11.915,74.8639,16.4396,34.5425,2.10117,74.0695,37.9978,100.5,26.0637,12.8986,16.6364,[105:251:114:258:129:258:139:252:140:245:116:243]
271,242,310,283,753,753,0,0,40.6613,138.821,1.84772,130.951,0.742839,15.4818,97.2753,22.779,42.0892,1.84772,87.7756,50.1541,110.325,38.5731,27.3314,31.8138,[306:243:294:247:283:258:272:263:275:269:283:271:283:279:288:283:293:282:296:277:293:266:308:259:310:255:309:245]
429,250,457,269,347,347,0,0,19.3504,45.0683,1.52613,77.5898,0.85107,10.5097,66.0343,17.0147,25.9666,1.52613,66.4496,28.1844,74.6398,34.4283,18.5241,32.3238,[430:262:434:269:448:268:452:265:456:267:455:259:442:251:434:254]
457,259,484,283,466,466,0,0,31.5334,46.6915,1.21684,88.6412,0.863301,12.1792,76.524,22.0816,26.8698,1.21684,74.4979,38.9378,98.0536,27.2487,15.0697,16.4221,[482:263:478:260:468:260:464:265:460:263:458:269:461:272:462:283:481:278:484:273]
458,261,459,262,1,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,135,72,133,0,0,0,[459:262]
123,270,134,283,98,98,0,0,4.63997,13.2822,1.69191,37.1764,0.943952,5.58519,35.0928,8.58774,14.5297,1.69191,87.7449,47.3061,109.429,19.9527,15.4639,16.8874,[126:271:124:274:127:281:133:283:133:275]
22,272,56,328,811,811,0,0,36.7628,226.044,2.47966,165.216,0.611033,16.067,100.952,20.4065,50.6013,2.47966,72.8977,39.1467,92.8804,39.5944,23.5122,30.7707,[23:275:35:282:33:291:39:298:43:311:39:325:44:328:52:320:52:302:56:296:52:287:55:278:51:277:45:282:30:273]
426,275,452,302,455,455,0,0,28.6839,51.5074,1.34003,82.7228,0.914083,12.0346,75.6155,20.7923,27.8624,1.34003,98.1648,61.7736,122.824,36.652,30.7838,31.1631,[431:277:427:282:428:288:433:291:433:298:441:302:450:295:452:286:437:276]
462,280,481,300,198,198,0,0,14.3372,26.6061,1.36225,69.4499,0.718234,7.93885,49.8813,13.6038,18.5318,1.36225,105.283,54.2879,117.217,24.3049,9.89403,10.6614,[481:281:463:286:469:299:477:300:475:291]
0,293,10,307,87,87,12,0,4.59601,12.8317,1.6709,37.7318,0.876308,5.26241,33.0647,8.14215,13.6047,1.6709,54.6782,27.3678,76.5747,23.4121,13.9409,22.7579,[6:294:1:296:1:307:10:298]
452,293,466,313,152,152,0,0,6.39091,24.7503,1.96793,50.584,0.863999,6.9558,43.7046,9.91682,19.5156,1.96793,101.158,56.5855,119.309,17.1434,10.7871,12.793,[464:294:453:303:454:310:458:313:466:301]
78,300,95,325,243,243,0,0,7.90096,49.1689,2.49463,64.6423,0.854853,8.79485,55.2596,11.1367,27.7818,2.49463,59.0988,47.6667,100.543,28.9901,40.8439,40.4852,[93:301:85:305:80:324:84:325:95:310]
460,300,477,315,155,155,0,0,7.57528,21.5114,1.68514,49.5686,0.890357,7.0241,44.1337,10.8219,18.2364,1.68514,102.206,55.0323,118.897,14.8952,7.85631,10.1779,[477:303:469:302:461:313:472:314]
377,304,396,330,275,275,0,0,8.78699,60.1053,2.61539,69.7753,0.8425,9.35603,58.7856,11.5705,30.2614,2.61539,60.8109,37.2909,88.7455,33.0861,34.7396,40.4374,[393:305:389:305:378:320:379:330:385:329:388:320:396:313]
258,312,260,313,2,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,162.5,108,169,1.5,6,5,[259:313]
266,312,299,341,748,748,0,0,52.8047,75.6072,1.19659,110.284,0.879111,15.4304,96.9518,28.212,33.7581,1.19659,75.5561,38.3409,94.9358,38.3082,22.0318,29.0604,[267:313:267:323:274:329:269:334:271:339:284:341:298:335:299:326:292:316]
237,313,264,334,292,292,0,0,10.8176,62.5034,2.40373,76.249,0.794442,9.64088,60.5754,12.4366,29.8944,2.40373,90.8596,55.1849,109.688,36.4557,31.9379,36.6077,[264:315:250:316:238:326:238:329:247:334:256:323:264:323]
350,315,371,344,289,289,0,0,10.9441,71.6769,2.55917,81.152,0.7426,9.59122,60.2634,11.991,30.6869,2.55917,72.699,40.3979,99.8858,38.327,22.3645,27.2828,[354:316:351:321:356:328:358:344:369:343:371:336:356:322:357:316]
492,317,500,332,53,53,4,0,1.0139,18.3197,4.25071,35.8357,0.720157,4.10736,25.8073,3.98439,16.9365,4.25071,113.623,66.8491,129.057,22.6942,24.7031,25.0233,[500:318:496:321:493:332]
86,325,126,350,573,573,0,0,29.1887,89.779,1.7538,109.959,0.771708,13.5052,84.8559,20.3959,35.7703,1.7538,79.2182,39.2583,97.3543,25.9882,14.7611,16.0207,[126:338:126:330:122:326:104:332:95:330:87:333:94:336:101:350:111:343:115:346:122:344]
325,331,341,349,106,106,0,0,3.06821,34.456,3.35112,51.6948,0.706011,5.80869,36.4971,6.34619,21.2668,3.35112,133.443,83.8019,147.67,21.5709,18.248,16.0328,[340:332:326:343:329:349]
70,333,95,352,212,212,0,0,10.29,38.5349,1.93517,66.2131,0.779523,8.21472,51.6146,11.8104,22.8551,1.93517,105.052,58.3821,113.722,22.2083,15.0769,15.7595,[95:343:91:337:84:334:71:350:73:352]
253,334,271,351,206,206,0,0,12.4691,22.1453,1.33267,53.5909,0.949397,8.09764,50.879,14.029,18.696,1.33267,102.879,49.1165,114.049,20.4344,10.3199,11.5673,[266:335:256:340:255:350:263:351:271:343]
413,334,457,381,942,942,0,0,33.664,218.439,2.54731,142.787,0.761975,17.3161,108.8,21.699,55.2741,2.54731,74.7643,36.3662,93.5892,25.7009,16.109,26.4836,[456:335:445:335:435:344:427:357:415:358:414:365:423:380:427:381:437:374:444:355:453:349]
180,339,196,351,93,93,0,0,3.79961,18.5308,2.2084,41.9841,0.814257,5.44085,34.1859,7.32247,16.171,2.2084,106.806,68.3011,134.796,26.8369,16.744,16.2967,[181:341:192:351:196:348:194:343]
0,340,14,375,156,156,19,0,2.80401,88.512,5.61838,78.4705,0.564236,7.04673,44.2759,5.94582,33.4059,5.61838,76.7308,27.6859,79.4615,22.3106,8.00705,17.9741,[14:341:1:357:1:375:3:364]
140,340,159,363,326,326,0,0,22.9015,30.1281,1.14698,65.1976,0.981707,10.1867,64.005,19.0233,21.8193,1.14698,53.9847,25.3681,78.3405,28.0095,13.5461,23.0882,[151:341:142:348:141:358:154:363:159:356:159:350]
499,350,500,352,2,2,2,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,116,56,121.5,1,1,2.5,[500:351]
202,352,227,373,377,377,0,0,21.0121,44.109,1.44887,72.7821,0.945695,10.9546,68.8297,18.2017,26.3718,1.44887,59.252,36.4509,91.2838,31.9065,29.3065,32.9745,[227:355:213:354:203:369:208:373:220:372:225:368]
70,354,86,372,222,222,0,0,12.8902,24.6873,1.38391,55.0269,0.959856,8.40624,52.8179,14.2915,19.7781,1.38391,39.3333,31.3063,78.9459,27.5894,26.7158,38.86,[86:356:73:358:71:368:74:372:84:368]
499,354,500,358,4,4,4,0,0,1.25,0,8.36987,0.847064,1.12838,7.08982,0,0,0,121,67,126.5,13.8384,18.2071,15.7242,[500:355:500:358]
483,360,500,383,205,205,23,0,16.7303,24.4983,1.21009,69.1804,0.733666,8.07797,50.7554,14.6867,17.7722,1.21009,122.161,66.9854,132.639,23.5125,16.6251,15.9578,[500:361:497:371:484:373:486:380:500:383]
102,362,116,378,172,172,0,0,11.4755,17.3038,1.22796,48.5532,0.957528,7.39928,46.491,13.3545,16.3988,1.22796,91.6686,43.8837,109.983,17.7266,12.7393,14.3885,[104:364:105:375:108:378:113:377:116:365]
431,365,462,413,788,788,0,0,30.9811,160.406,2.27542,123.136,0.808133,15.8376,99.5103,20.9984,47.7803,2.27542,94.6942,49.4213,112.668,28.193,16.4997,18.8306,[451:366:444:370:434:385:432:406:437:413:443:412:445:397:456:390:462:382:461:377]
31,371,49,391,232,232,0,0,9.9775,35.8746,1.89619,59.2792,0.910849,8.59348,53.9944,12.4812,23.6668,1.89619,71.9138,42.2457,104.741,23.1815,16.6282,21.109,[47:372:36:375:32:382:34:391:39:390:48:380]
0,376,1,378,2,2,2,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,97.5,40,80.5,5.5,1,4.5,[1:377]
113,385,147,402,247,247,0,0,4.93389,100.191,4.5063,82.2627,0.677252,8.86694,55.7126,8.35398,37.6455,4.5063,48.8016,30.9879,87.1012,23.3368,13.9149,19.3644,[147:387:137:392:116:395:114:401:122:402:145:393]
451,386,482,435,756,756,0,0,30.3721,172.428,2.38268,130.07,0.749357,15.5126,97.4688,20.0994,47.8905,2.38268,72.0344,40.7526,100.079,35.4354,21.1384,26.7085,[474:387:467:391:471:402:452:422:455:435:469:429:481:414:482:405:477:399]
256,387,294,454,1532,1532,0,0,65.1579,283.846,2.08717,177.052,0.783669,22.0828,138.75,30.5707,63.8063,2.08717,106.202,61.5202,125.393,28.2945,19.5478,18.96,[279:388:261:410:257:421:257:429:264:436:264:453:285:453:294:444:293:438:282:430:285:425:283:393]
216,388,230,402,142,142,0,0,9.64102,14.2982,1.21781,44.2056,0.955591,6.72309,42.2425,12.1846,14.8385,1.21781,94.9859,56.5352,118.641,23.5004,19.8174,19.5233,[229:389:219:393:217:398:223:402:228:401]
495,390,500,400,35,35,10,0,1.60139,5.70474,1.88742,23.9989,0.873872,3.33779,20.972,4.85908,9.17115,1.88742,103.629,51.2571,98.3143,13.6823,6.29441,15.1333,[499:391:496:395:500:400]
364,391,410,417,874,874,0,0,36.8075,148.752,2.01031,122.025,0.858837,16.6794,104.8,23.5277,47.298,2.01031,79.3741,42.5252,104.402,26.5419,15.3405,20.2875,[365:399:367:412:375:417:397:414:410:404:409:399:401:392:389:398:376:392]
17,392,30,411,189,189,0,0,9.68755,24.3539,1.58554,51.2347,0.9512,7.75632,48.7344,12.3196,19.5333,1.58554,43.9259,27.1958,79.3016,24.4019,18.1248,29.022,[24:393:18:396:18:402:24:411:28:411:29:397]
41,397,66,419,451,451,0,0,30.7905,41.9556,1.16731,75.2336,1.00065,11.9816,75.2824,22.1794,25.8903,1.16731,59.9268,33.1175,91.4612,22.5675,14.1223,19.6445,[47:400:42:408:43:415:48:419:61:418:66:410:66:403:60:398]
149,397,179,418,462,462,0,0,23.2753,58.5561,1.58613,80.0413,0.951945,12.1268,76.1949,19.2578,30.5454,1.58613,65.7814,39.7013,99.4242,22.8257,16.3854,20.9937,[150:402:152:410:163:417:174:417:179:412:175:402:168:398:157:398]
288,397,302,413,181,181,0,0,12.1411,17.0913,1.18648,47.9978,0.993626,7.59039,47.6919,13.9368,16.5358,1.18648,80.6851,52.2099,116.442,17.8949,12.6744,14.6944,[293:398:289:408:291:412:297:413:302:408:302:401]
467,400,468,401,1,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,142,79,141,0,0,0,[468:401]
